cone_id,tracker_id,cone_type,global_x,global_y,observations,confidence,existence_probability,uncertainty_m,status,missed_updates,predicted_updates
36,46,left,-43.40461786168375,-0.12318592860129071,150,0.8703333333333334,4.903361794297065e-06,0.5,CONFIRMED,2439,2439
37,47,left,-42.8657998786879,-4.92999751089527,162,0.8767901234567901,9.695159480640961e-06,0.5,CONFIRMED,2303,2303
34,44,left,-42.76488103524629,5.030800832758714,138,0.8783333333333331,2.4551559402778286e-06,0.5,CONFIRMED,2577,2577
33,42,left,-40.8551742667826,9.734169120202681,128,0.8742187499999994,1.1575538228955427e-06,0.5,CONFIRMED,2727,2727
39,50,left,-40.75467169284957,-9.763993613997085,176,0.8769886363636357,1.926605941319729e-05,0.5,CONFIRMED,2166,2166
41,53,left,-37.751635735430284,-14.375800226284243,166,0.8801807228915661,3.696514365436601e-05,0.5,CONFIRMED,2036,2036
31,40,left,-37.5295390467367,14.13290824186732,120,0.8753333333333332,5.26944493646165e-07,0.5,CONFIRMED,2884,2884
43,56,left,-33.401301432464635,-18.324542435803995,162,0.8808641975308646,7.199836912799836e-05,0.5,CONFIRMED,1903,1903
29,37,left,-33.179895086997654,18.262693860566298,112,0.8783035714285716,2.2138991813782864e-07,0.5,CONFIRMED,3057,3057
44,58,left,-28.13297070375816,-21.858313708181477,162,0.8819753086419747,0.00013337785458011878,0.5,CONFIRMED,1780,1780
26,32,left,-27.891828736874114,21.775575024996837,108,0.8871296296296298,9.730677563561591e-08,0.5,CONFIRMED,3221,3221
48,63,left,-21.67541513601867,-24.59234839148535,132,0.8810606060606061,0.00023856479810298623,0.5,CONFIRMED,1664,1664
24,30,left,-21.57246608945792,24.441631707086408,104,0.8713461538461538,4.68072224594319e-08,0.5,CONFIRMED,3367,3367
22,27,left,-15.06940044499484,27.16149253366809,102,0.8822549019607839,2.2290962498309574e-08,0.5,CONFIRMED,3515,3515
50,68,left,-14.680370812012626,-26.66724740861774,116,0.8814655172413792,0.000422449845751609,0.5,CONFIRMED,1550,1550
20,25,left,-7.5107697680953684,28.08046853910301,104,0.8702884615384612,1.197266507598208e-08,0.5,CONFIRMED,3639,3639
52,71,left,-7.462262949197084,-27.962300666807415,108,0.8837037037037031,0.0007369078672682582,0.5,CONFIRMED,1439,1439
54,73,left,-0.10342982032416599,-28.614436822986402,106,0.8744339622641508,0.0013788851672240493,0.5,CONFIRMED,1314,1314
18,21,left,-0.04152046933328325,28.577454705001937,107,0.8683177570093459,6.560856262403769e-09,0.5,CONFIRMED,3759,3759
56,76,left,7.586105202477598,-28.29340855939014,104,0.887596153846154,0.0024663274316532703,0.5,CONFIRMED,1198,1198
16,19,left,7.789292416171829,28.075610186865465,108,0.874444444444444,3.453940554081204e-09,0.5,CONFIRMED,3887,3887
58,79,left,14.652438842105934,-26.85245088545026,102,0.8838235294117647,0.004755839128318659,0.5,CONFIRMED,1067,1067
14,17,left,15.012371373742742,26.784782309917126,117,0.8667521367521364,1.990003043714285e-09,0.5,CONFIRMED,3997,3997
60,82,left,21.54560857281363,-24.84582707605836,104,0.8845192307692306,0.009545945092991434,0.5,CONFIRMED,928,928
12,14,left,21.740713152231898,24.5058042598384,132,0.8797727272727269,1.0850419041586755e-09,0.5,CONFIRMED,4118,4118
8,9,left,28.0242409902273,21.88944695123204,162,0.8735185185185182,6.096783828306525e-10,0.5,CONFIRMED,4233,4233
62,84,left,28.170331265363142,-21.93319312930316,108,0.8774074074074074,0.020969846670345987,0.5,CONFIRMED,771,771
